iso3,hydro_share,fossil_share,var_share,inter_ratio,r_hydro,r_fossil,r_var,r_nointer,joint_tail_prob,cascade_index
NLD,0.0,0.4673732488080883,0.4783385880203394,0.2212227169183549,0.08888888888888889,0.6666666666666667,0.8666666666666667,-0.4666666666666667,0.46605433995538925,0.3166666666666667
MKD,0.2299052298043589,0.5449280446889576,0.22516672506793323,1.1577931760371898,0.6444444444444445,0.7333333333333334,0.5111111111111112,-0.9555555555555556,0.46605433995538925,0.31333333333333335
NOR,0.8197431945188087,0.01481787891796001,0.16543892653489883,0.25031023169632993,0.9555555555555556,0.08888888888888889,0.35555555555555557,-0.5111111111111112,0.46605433995538925,0.29555555555555557
TUN,0.004174598402936479,0.9214173594961397,0.07440804193393981,0.0968345131561373,0.17777777777777778,0.9333333333333333,0.15555555555555556,-0.22222222222222224,0.46605433995538925,0.28111111111111114
UKR,0.18583689071452641,0.21653998898673113,0.1860570272586736,0.10854788571088603,0.5333333333333333,0.26666666666666666,0.4444444444444445,-0.2888888888888889,0.46605433995538925,0.28
LBY,0.0,0.9670445556968729,0.032955444237216226,0.035589534040730245,0.08888888888888889,0.9777777777777779,0.11111111111111112,-0.11111111111111112,0.46605433995538925,0.2766666666666667
SRB,0.2032921283285349,0.689041183540762,0.10290142828375053,0.563560678834454,0.5555555555555556,0.8222222222222223,0.2,-0.7555555555555555,0.46605433995538925,0.2711111111111111
CZE,0.10253317249120475,0.49223814298883706,0.1671194886211786,0.32127880236280837,0.4,0.6888888888888889,0.4,-0.6222222222222222,0.46605433995538925,0.2677777777777778
FIN,0.11010261823117212,0.14826864172961615,0.3797480402002289,0.1477777104837384,0.4222222222222222,0.17777777777777778,0.7111111111111111,-0.4222222222222222,0.46605433995538925,0.2644444444444445
DZA,0.006941198135546683,0.9767469862105043,0.016311815618534706,0.1303199212414389,0.2,1.0,0.06666666666666667,-0.33333333333333337,0.46605433995538925,0.26
FRA,0.1523868835995573,0.09659789620590381,0.2768217649741843,0.13273302098019707,0.48888888888888893,0.13333333333333333,0.5777777777777778,-0.35555555555555557,0.46605433995538925,0.2533333333333333
BEL,0.07875011288246184,0.36539329899362455,0.29327192267718644,0.47439872369886515,0.37777777777777777,0.48888888888888893,0.6444444444444445,-0.7333333333333334,0.46605433995538925,0.25
ALB,0.8332548720302916,0.0,0.1667451274989431,0.8234519104084322,0.9777777777777779,0.03333333333333333,0.37777777777777777,-0.8444444444444444,0.46605433995538925,0.22722222222222224
MNE,0.6432748531635694,0.22301516481017428,0.13370998103507784,2.3071591246658087,0.888888888888889,0.3111111111111111,0.2888888888888889,-1.0,0.46605433995538925,0.21666666666666667
SVN,0.3397256793434958,0.3997332993396834,0.02971805942668337,1.1458134958420618,0.7555555555555555,0.6,0.08888888888888889,-0.9333333333333333,0.46605433995538925,0.21222222222222217
HUN,0.0,0.37124810026868843,0.41604293309118134,0.6458353119954412,0.08888888888888889,0.5111111111111112,0.7777777777777778,-0.7777777777777778,0.46605433995538925,0.19333333333333336
LUX,0.8378115889687202,0.0,0.15066364509507046,2.1740537043028145,1.0,0.03333333333333333,0.3111111111111111,-0.9777777777777779,0.46605433995538925,0.19055555555555553
EST,0.0,0.19946009483195018,0.7548221357796743,0.4421813117465292,0.08888888888888889,0.22222222222222224,1.0,-0.7111111111111111,0.46605433995538925,0.18999999999999997
MDA,0.03473981324836085,0.8453354557101139,0.11992473031777899,1.0125117523685543,0.24444444444444446,0.8666666666666667,0.24444444444444446,-0.888888888888889,0.46605433995538925,0.17333333333333334
MLT,0.0,0.9669902895551803,0.03300970867959451,0.3524229074889868,0.08888888888888889,0.9555555555555556,0.13333333333333333,-0.6444444444444445,0.46605433995538925,0.16999999999999996
SVK,0.3210861685488884,0.1876534549006703,0.1301297790058854,0.9103661922436216,0.7333333333333334,0.2,0.26666666666666666,-0.8666666666666667,0.46605433995538925,0.16333333333333333
DNK,0.0,0.13524473414085456,0.7027162892988325,0.7112697295667035,0.08888888888888889,0.15555555555555556,0.9777777777777779,-0.8,0.46605433995538925,0.15000000000000002
CHE,0.7978331285157023,0.005517703562743343,0.008472020551297216,0.7175964706539342,0.9333333333333333,0.06666666666666667,0.044444444444444446,-0.8222222222222223,0.46605433995538925,0.14333333333333328
