from_iso3,to_iso3,inter_mw,fossil_a,fossil_b,mix_divergence,friction_score_GW
BEL,NLD,5400.0,0.36539329901562356,0.467373248819905,0.10197994980428143,0.5506917289431198
ALB,MKD,1000.0,0.0,0.5449280449280449,0.5449280449280449,0.5449280449280449
AUT,ITA,1450.0,0.2199194327482182,0.5891897543027511,0.3692703215545329,0.5354419662540727
DEU,NOR,1400.0,0.390218914104882,0.014817878918379837,0.3754010351865022,0.5255614492611032
POL,UKR,1215.0,0.610207072794919,0.2165399889931728,0.3936670838017462,0.4783055068191216
HUN,SVK,2600.0,0.3712481003039514,0.1876534549280954,0.18359464537585599,0.47734607797722556
DEU,NLD,6000.0,0.390218914104882,0.467373248819905,0.07715433471502298,0.46292600829013786
ITA,MNE,1200.0,0.5891897543027511,0.22301516503122212,0.366174589271529,0.4394095071258348
BEL,LUX,1180.0,0.36539329901562356,0.0,0.36539329901562356,0.4311640928384358
FIN,SWE,4500.0,0.1482686417360306,0.05921989824759751,0.08904874348843309,0.40071934569794887
HUN,SRB,1250.0,0.3712481003039514,0.6890411836290271,0.3177930833250757,0.39724135415634465
HRV,SRB,1100.0,0.33606237816764134,0.6890411836290271,0.35297880546138577,0.38827668600752435
GBR,IRL,3000.0,0.3897519854909168,0.5191237205961573,0.12937173510524053,0.3881152053157216
CHE,FRA,4200.0,0.005517703563051491,0.0965978962065939,0.0910801926435424,0.38253680910287813
MDA,ROU,616.0,0.8453354563219222,0.24796039639349832,0.5973750599284239,0.3679830369159091
LTU,POL,1000.0,0.2566739703975316,0.610207072794919,0.35353310239738744,0.35353310239738744
ALB,SRB,500.0,0.0,0.6890411836290271,0.6890411836290271,0.3445205918145136
HUN,ROU,2737.0,0.3712481003039514,0.24796039639349832,0.12328770391045307,0.3374384456029101
POL,SWE,600.0,0.610207072794919,0.05921989824759751,0.5509871745473215,0.3305923047283929
NLD,NOR,700.0,0.467373248819905,0.014817878918379837,0.4525553699015252,0.3167887589310676
ITA,SVN,1670.0,0.5891897543027511,0.39973329946659897,0.18945645483615214,0.3163922795763741
FRA,IRL,700.0,0.0965978962065939,0.5191237205961573,0.42252582438956343,0.29576807707269437
CZE,DEU,2750.0,0.4922381430165835,0.390218914104882,0.10201922891170145,0.280552879507179
AUT,CHE,1300.0,0.2199194327482182,0.005517703563051491,0.21440172918516673,0.2787222479407167
EST,LVA,2100.0,0.19946009491879657,0.32629904241587365,0.12683894749707708,0.2663617897438619
AUT,SVN,1450.0,0.2199194327482182,0.39973329946659897,0.17981386671838076,0.2607301067416521
GRC,MKD,1600.0,0.3825754377670083,0.5449280449280449,0.1623526071610366,0.25976417145765857
AUT,CZE,900.0,0.2199194327482182,0.4922381430165835,0.2723187102683653,0.24508683924152877
DNK,SWE,3150.0,0.13524473415218594,0.05921989824759751,0.07602483590458842,0.2394782330994535
BGR,TUR,2000.0,0.3204225352112676,0.43692723040045,0.11650469518918238,0.23300939037836477
GBR,NLD,3000.0,0.3897519854909168,0.467373248819905,0.07762126332898822,0.23286378998696466
DNK,NLD,700.0,0.13524473415218594,0.467373248819905,0.3321285146677191,0.23248996026740337
GRC,ITA,1000.0,0.3825754377670083,0.5891897543027511,0.2066143165357428,0.2066143165357428
DNK,NOR,1640.0,0.13524473415218594,0.014817878918379837,0.1204268552338061,0.197500042583442
ESP,PRT,4200.0,0.2557194155517517,0.2092038918265436,0.04651552372520812,0.1953651996458741
GEO,TUR,1200.0,0.2796877992721701,0.43692723040045,0.15723943112827993,0.18868731735393593
CZE,POL,1400.0,0.4922381430165835,0.610207072794919,0.11796892977833556,0.1651565016896698
NOR,SWE,3695.0,0.014817878918379837,0.05921989824759751,0.044402019329217675,0.1640654614214593
ALB,GRC,400.0,0.0,0.3825754377670083,0.3825754377670083,0.1530301751068033
ITA,MLT,400.0,0.5891897543027511,0.9669902912621359,0.37780053695938476,0.15112021478375393
BIH,MNE,800.0,0.4036920580180546,0.22301516503122212,0.18067689298683245,0.14454151438946597
LTU,SWE,700.0,0.2566739703975316,0.05921989824759751,0.19745407214993407,0.13821785050495386
LVA,SWE,500.0,0.32629904241587365,0.05921989824759751,0.26707914416827616,0.13353957208413808
HRV,SVN,2000.0,0.33606237816764134,0.39973329946659897,0.06367092129895763,0.12734184259791526
AUT,HUN,800.0,0.2199194327482182,0.3712481003039514,0.15132866755573318,0.12106293404458654
BGR,MKD,500.0,0.3204225352112676,0.5449280449280449,0.2245055097167773,0.11225275485838865
BGR,ROU,1500.0,0.3204225352112676,0.24796039639349832,0.0724621388177693,0.10869320822665397
BGR,GRC,1700.0,0.3204225352112676,0.3825754377670083,0.062152902555740686,0.10565993434475916
HUN,UKR,650.0,0.3712481003039514,0.2165399889931728,0.15470811131077858,0.10056027235200608
BEL,GBR,3800.0,0.36539329901562356,0.3897519854909168,0.024358686475293212,0.09256300860611422
EST,FIN,1716.0,0.19946009491879657,0.1482686417360306,0.05119145318276597,0.0878445336616264
ALB,MNE,350.0,0.0,0.22301516503122212,0.22301516503122212,0.07805530776092774
MKD,SRB,540.0,0.5449280449280449,0.6890411836290271,0.1441131387009822,0.0778210948985304
BIH,HRV,1048.0,0.4036920580180546,0.33606237816764134,0.06762967985041324,0.07087590448323307
GRC,TUR,1260.0,0.3825754377670083,0.43692723040045,0.0543517926334417,0.06848325871813654
LTU,LVA,950.0,0.2566739703975316,0.32629904241587365,0.06962507201834206,0.06614381841742495
HRV,HUN,1700.0,0.33606237816764134,0.3712481003039514,0.03518572213631005,0.059815727631727086
BEL,DEU,2000.0,0.36539329901562356,0.390218914104882,0.024825615089258457,0.049651230178516914
FRA,LUX,380.0,0.0965978962065939,0.0,0.0965978962065939,0.03670720055850568
HUN,SVN,1200.0,0.3712481003039514,0.39973329946659897,0.02848519916264758,0.0341822389951771
SVK,UKR,650.0,0.1876534549280954,0.2165399889931728,0.028886534065077407,0.018776247142300313
AUT,SVK,500.0,0.2199194327482182,0.1876534549280954,0.032265977820122804,0.016132988910061402
ROU,UKR,150.0,0.24796039639349832,0.2165399889931728,0.031420407400325506,0.004713061110048826
DEU,GBR,2800.0,0.390218914104882,0.3897519854909168,0.0004669286139652451,0.0013074001191026863
CYP,TUR,0.0,0.7705102083246704,0.43692723040045,0.3335829779242204,0.0
FIN,NOR,0.0,0.1482686417360306,0.014817878918379837,0.13345076281765078,0.0
HRV,MNE,0.0,0.33606237816764134,0.22301516503122212,0.11304721313641922,0.0
