from_iso3,to_iso3,existing_mw,planned_mw,multiplier,delta_mw,ren_op_src_mw,ren_pipe_src_mw,curtail_risk,unlock_potential,pipe_per_line_mw,lever_score_GW
GBR,IRL,630.0,2370.0,3.75594294770206,1740.0,46072.2,132951.5,73.01458003169571,75.5055672711936,56.074019401096585,0.03344870954483936
ESP,FRA,2800.0,5200.0,1.8564798286326312,2400.0,83580.6,180420.3,29.839557300963943,50.75964237646607,34.68954047298596,0.02933887586303063
GBR,NLD,1000.0,2000.0,1.998001998001998,1000.0,46072.2,132951.5,46.026173826173824,89.46711644177911,66.44252873563218,0.029270752934197813
ESP,PRT,2300.0,1900.0,0.8257279443720121,-400.0,83580.6,180420.3,36.32359843546284,138.87475013150976,94.90810099947396,0.027328664622017627
ITA,SVN,660.0,1010.0,1.5279878971255674,350.0,33248.7,59377.8,50.30060514372163,91.6186943620178,58.73175074183977,0.0272437637947169
DEU,LUX,2300.0,1400.0,0.6084311169056932,-900.0,95806.7,28117.2,41.636983920034766,88.45389007851534,20.069379014989295,0.027188251846787012
ITA,MLT,200.0,200.0,0.9950248756218906,0.0,33248.7,59377.8,165.41641791044773,460.82835820895525,295.4119402985075,0.027123716830648147
FRA,GBR,3000.0,5875.0,1.9576807730756414,2875.0,60080.3,27295.7,20.02009330223259,14.86997957794418,4.645285908781484,0.026430588396073238
DEU,FRA,3000.0,1800.0,0.5998000666444518,-1200.0,95806.7,28117.2,31.92492502499167,68.80838423098278,15.611993337034981,0.026193088005160424
AUT,ITA,410.0,1040.0,2.5304136253041363,630.0,16863.4,3312.6,41.03017031630171,19.381364073006726,3.1821325648414986,0.025974082486469142
ITA,MNE,600.0,600.0,0.9983361064891847,0.0,33248.7,59377.8,55.32229617304492,154.1206322795341,98.79833610648919,0.025793315133254335
GBR,NOR,1400.0,1400.0,0.9992862241256245,0.0,46072.2,132951.5,32.88522483940043,127.78279800142757,94.89757316202713,0.0255237774596113
DEU,NLD,3950.0,2050.0,0.518855985826373,-1900.0,95806.7,28117.2,24.2487218425715,60.42120916626036,13.70901999024866,0.024622909432146334
