iso3,total_mw,fossil_mw,nuclear_mw,hydro_mw,bio_geo_mw,var_mw,solar_mw,pumped_mw,pipeline_mw,var_share,fossil_share,hydro_share,storage_share,pipeline_ratio,cluster,is_hubris
AUT,21944.4,4826.0,0.0,12915.0,255.0,3948.4,858.4,6144.0,3382.6,0.1799274530094271,0.21991943273819653,0.5885328375080415,0.27998031387142136,0.15414410965193195,2,false
CZE,17740.6,8732.6,4164.0,1819.0,60.2,2964.8,2813.8,1167.0,9094.0,0.1671194886211786,0.49223814298883706,0.10253317249120475,0.06578131517165252,0.5126094945766992,2,false
ALB,2124.2,0.0,0.0,1770.0,0.0,354.2,354.2,0.0,4224.7,0.1667451274989431,0.0,0.8332548720302916,0.0,1.988842857551623,2,false
NOR,35295.2,523.0,0.0,28933.0,0.0,5839.2,35.800000000000004,473.0,33234.1,0.16543892653489883,0.01481787891796001,0.8197431945188087,0.013401255694445668,0.9416039574519594,2,false
BIH,4929.5,1990.0,0.0,2156.0,0.0,783.5,539.5,440.0,6995.5,0.15894106904169975,0.4036920579361614,0.43736687281927844,0.08925854547332213,1.4191094428605113,2,false
LUX,1544.5,0.0,0.0,1294.0,17.8,232.7,101.1,1294.0,87.5,0.15066364509507046,0.0,0.8378115889687202,0.8378115889687202,0.05665263835762212,1,false
MNE,1008.9,225.0,0.0,649.0,0.0,134.9,16.9,307.0,3803.0,0.13370998103507784,0.22301516481017428,0.6432748531635694,0.3042918026521045,3.7694518745470793,3,true
SVK,6842.4,1284.0,2471.0,2197.0,0.0,890.4,890.4,992.0,1804.5,0.1301297790058854,0.1876534549006703,0.3210861685488884,0.14497837014132783,0.2637232549597037,2,false
MDA,1381.7,1168.0,0.0,48.0,0.0,165.7,165.7,0.0,305.0,0.11992473031777899,0.8453354557101139,0.03473981324836085,0.0,0.22074256334895953,2,false
EGY,63965.5,54452.1,0.0,2874.0,45.0,6594.4,3549.4,0.0,0.0,0.10309307360838119,0.8512729518122851,0.044930470330960745,0.0,0.0,2,false
SRB,7806.5,5379.0,0.0,1587.0,37.2,803.3,199.2,643.0,14830.6,0.10290142828375053,0.689041183540762,0.2032921283285349,0.0823672580436345,1.8997758275924197,2,false
XKX,1476.9,1290.0,0.0,35.0,0.0,151.9,16.9,0.0,1291.0,0.10285056530377779,0.8734511470827738,0.02369828693635433,0.0,0.8741282409952411,2,false
TUN,5988.6,5518.0,0.0,25.0,0.0,445.6,192.6,0.0,0.0,0.07440804193393981,0.9214173594961397,0.004174598402936479,0.0,0.0,2,false
